City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,port-gentil,40.0,GA,1595894770,94.0,-0.72,8.78,75.2,6.09
2,bulgan,13.0,MN,1595894771,74.0,48.81,103.53,60.530000000000044,0.42
3,matamoros,90.0,MX,1595894771,88.0,25.53,-103.25,73.4,4.06
4,nikolskoye,19.0,RU,1595894657,82.0,59.7,30.79,60.008,3.0
5,tuatapere,100.0,NZ,1595894691,87.0,-46.13,167.68,42.998000000000026,0.89
6,rikitea,73.0,PF,1595894643,78.0,-23.12,-134.97,72.37400000000001,5.47
7,mataura,100.0,NZ,1595894520,87.0,-46.19,168.86,42.998000000000026,0.89
8,cape town,0.0,ZA,1595894258,100.0,-33.93,18.42,57.00200000000008,1.0
9,mar del plata,40.0,AR,1595894644,80.0,-38.0,-57.56,44.00600000000003,4.1
10,villa altagracia,79.0,DO,1595894772,67.0,18.67,-70.17,84.99199999999999,2.24
11,weligama,100.0,LK,1595894652,88.0,5.97,80.42,78.60200000000007,3.94
12,hithadhoo,100.0,MV,1595894441,79.0,-0.6,73.08,81.55400000000006,4.37
13,albany,12.0,US,1595894610,51.0,42.6,-73.97,91.00400000000005,0.45
14,souillac,40.0,MU,1595894658,88.0,-20.52,57.52,66.2,1.0
15,vila franca do campo,20.0,PT,1595894758,88.0,37.72,-25.43,71.6,2.1
16,saskylakh,43.0,RU,1595894647,67.0,71.92,114.08,50.48600000000007,5.83
17,labrea,48.0,BR,1595894772,56.0,-7.26,-64.8,79.62800000000007,0.99
18,mahebourg,40.0,MU,1595894535,88.0,-20.41,57.7,66.2,1.0
19,narsaq,75.0,GL,1595894652,81.0,60.92,-46.05,51.8,2.6
20,kavieng,15.0,PG,1595894667,75.0,-2.57,150.8,83.58800000000005,4.85
21,viedma,20.0,AR,1595894565,70.0,-40.81,-63.0,40.37000000000006,3.71
22,kaeo,97.0,NZ,1595894666,3.0,-35.1,173.78,60.998000000000026,4.47
23,nagato,75.0,JP,1595894772,94.0,34.38,131.2,82.4,5.1
24,hilo,75.0,US,1595894531,62.0,19.73,-155.09,84.2,4.1
25,verkhnyaya inta,50.0,RU,1595894759,76.0,65.98,60.31,49.622000000000035,3.34
26,matara,100.0,LK,1595894693,88.0,5.95,80.54,78.38600000000007,3.74
27,punta arenas,40.0,CL,1595894464,55.0,-53.15,-70.92,35.6,5.7
28,jiuquan,0.0,CN,1595894773,18.0,39.74,98.52,76.47800000000007,1.15
29,brownwood,1.0,US,1595894773,32.0,31.71,-98.99,95.0,2.6
30,evensk,97.0,RU,1595894773,84.0,61.95,159.23,54.96800000000009,3.54
31,samarai,94.0,PG,1595894773,88.0,-10.62,150.67,79.77200000000003,4.67
32,tuktoyaktuk,75.0,CA,1595894657,63.0,69.45,-133.04,66.2,6.7
33,isangel,40.0,VU,1595894595,78.0,-19.55,169.27,78.8,4.6
34,sao joao da barra,0.0,BR,1595894494,78.0,-21.64,-41.05,72.10400000000006,6.83
35,saint-philippe,95.0,RE,1595894666,83.0,-21.36,55.77,69.8,2.6
36,langsa,100.0,ID,1595894773,93.0,4.47,97.97,75.2,0.58
37,upernavik,6.0,GL,1595894671,88.0,72.79,-56.15,44.54600000000005,1.99
38,kapaa,40.0,US,1595894651,78.0,22.08,-159.32,82.4,10.3
39,ushuaia,40.0,AR,1595894415,80.0,-54.8,-68.3,33.8,9.3
40,luis correia,14.0,BR,1595894774,75.0,-2.88,-41.67,78.674,6.6
41,qaanaaq,63.0,GL,1595894657,59.0,77.48,-69.36,45.62600000000009,1.56
42,talnakh,26.0,RU,1595894774,54.0,69.49,88.4,55.4,2.0
43,butaritari,99.0,KI,1595894542,80.0,3.07,172.79,82.88600000000007,4.75
44,cherskiy,48.0,RU,1595894547,57.0,68.75,161.3,45.662000000000056,5.06
45,thompson,75.0,CA,1595894647,72.0,55.74,-97.86,62.6,5.7
46,yellowknife,75.0,CA,1595894524,88.0,62.46,-114.35,64.99400000000007,6.7
47,norman wells,75.0,CA,1595894548,43.0,65.28,-126.83,73.4,4.6
48,provideniya,90.0,RU,1595894674,93.0,64.38,-173.3,51.8,4.0
49,noumea,99.0,NC,1595894774,50.0,-22.28,166.46,78.8,3.1
50,chandrapur,90.0,IN,1595894775,79.0,19.95,79.3,80.99600000000005,1.89
51,mahajanga,93.0,MG,1595894775,75.0,-15.72,46.32,70.30400000000006,1.69
52,constitucion,0.0,CL,1595894679,62.0,-35.33,-72.42,46.72400000000001,4.45
53,shubarkuduk,0.0,KZ,1595894775,71.0,49.14,56.49,62.312000000000054,3.24
54,yar-sale,100.0,RU,1595894529,72.0,66.83,70.83,48.938000000000045,6.2
55,ewa beach,75.0,US,1595894661,52.0,21.32,-158.01,87.8,5.7
56,kawambwa,17.0,ZM,1595894776,70.0,-9.79,29.08,57.00200000000008,3.26
57,saint george,1.0,US,1595894636,13.0,37.1,-113.58,102.2,6.2
58,puerto ayora,40.0,EC,1595894607,78.0,-0.74,-90.35,71.6,7.2
59,balkhash,65.0,KZ,1595894776,52.0,46.84,74.98,72.87800000000007,4.82
60,bereda,37.0,ES,1595894763,99.0,43.27,-7.54,64.00400000000005,0.45
61,nome,90.0,US,1595894535,87.0,64.5,-165.41,51.8,7.7
62,carnarvon,0.0,AU,1595894664,93.0,-24.87,113.63,51.8,3.6
63,khatanga,0.0,RU,1595894516,61.0,71.97,102.5,50.61200000000006,2.91
64,lompoc,4.0,US,1595894655,64.0,34.64,-120.46,69.00800000000001,7.2
65,san cosme y damian,94.0,PY,1595894777,73.0,-27.32,-56.35,71.6,2.6
66,lundazi,42.0,ZM,1595894777,78.0,-12.29,33.18,57.00200000000008,4.72
67,boa vista,88.0,BR,1595894777,66.0,2.82,-60.67,84.2,1.3
68,new norfolk,44.0,AU,1595894643,93.0,-42.78,147.06,48.00200000000008,1.04
69,asyut,0.0,EG,1595894691,39.0,27.18,31.18,78.8,3.6
70,ubud,75.0,ID,1595894777,94.0,-8.51,115.27,78.8,4.1
71,sarahan,47.0,IN,1595894777,75.0,31.52,77.8,61.73600000000007,0.24
72,vigrestad,100.0,NO,1595894777,95.0,58.57,5.7,57.00200000000008,1.79
73,alugan,100.0,PH,1595894777,87.0,12.22,125.48,78.35,1.46
74,san luis,31.0,AR,1595894460,56.0,-33.3,-66.34,44.564000000000036,5.49
75,sal rei,75.0,CV,1595894778,74.0,16.18,-22.92,78.8,4.1
76,pytalovo,83.0,RU,1595894778,81.0,57.07,27.91,61.44800000000002,1.89
77,tigil,1.0,RU,1595894778,55.0,57.8,158.67,66.66800000000009,5.0
78,vaini,40.0,TO,1595894533,83.0,-21.2,-175.2,73.4,5.1
79,kaduy,0.0,RU,1595894778,95.0,59.2,37.15,57.43399999999999,1.79
80,saldanha,0.0,ZA,1595894648,65.0,-33.01,17.94,46.4,1.0
81,lukiv,81.0,UA,1595894778,97.0,51.05,25.4,64.99400000000007,1.16
82,jucurutu,48.0,BR,1595894778,66.0,-6.03,-37.02,75.34400000000008,6.84
83,arraial do cabo,20.0,BR,1595894645,83.0,-22.97,-42.03,71.6,5.1
84,dikson,46.0,RU,1595894644,82.0,73.51,80.55,39.95600000000003,5.99
85,port alfred,0.0,ZA,1595894647,80.0,-33.59,26.89,54.518000000000086,4.46
86,novoselytsya,91.0,UA,1595894778,80.0,48.22,26.27,62.99600000000005,2.49
87,karratha,78.0,AU,1595894462,29.0,-20.74,116.85,65.76800000000009,6.08
88,iqaluit,75.0,CA,1595894529,76.0,63.75,-68.51,55.4,1.0
89,portland,40.0,US,1595894584,19.0,45.52,-122.68,100.00400000000005,3.6
90,kargat,70.0,RU,1595894779,88.0,55.2,80.28,54.21200000000006,1.03
91,lebu,7.0,CL,1595894516,73.0,-37.62,-73.65,45.860000000000085,5.8
92,bollnas,81.0,SE,1595894779,98.0,61.35,16.39,48.00200000000008,1.03
93,owando,19.0,CG,1595894779,78.0,-0.48,15.9,73.59800000000003,1.09
94,carauari,71.0,BR,1595894644,71.0,-4.88,-66.9,77.57600000000009,0.27
95,olga,100.0,RU,1595894779,81.0,43.74,135.29,67.69400000000007,2.28
96,tautira,40.0,PF,1595894779,74.0,-17.73,-149.15,82.4,4.1
97,anadyr,20.0,RU,1595894686,64.0,64.75,177.48,69.8,5.0
98,busselton,8.0,AU,1595894515,98.0,-33.65,115.33,48.00200000000008,3.9
99,forio,0.0,IT,1595894693,64.0,40.73,13.86,78.99800000000002,0.45
100,hede,100.0,CN,1595894779,89.0,33.77,120.25,77.41400000000003,2.17
101,antibes,0.0,FR,1595894780,78.0,43.56,7.13,75.2,2.6
102,jatai,0.0,BR,1595894780,41.0,-17.88,-51.71,68.09000000000002,1.96
103,barrow,90.0,US,1595894646,80.0,71.29,-156.79,39.2,11.3
104,uddevalla,86.0,SE,1595894719,93.0,58.35,11.94,57.00200000000008,2.88
105,hobart,75.0,AU,1595894648,93.0,-42.88,147.33,48.00200000000008,4.1
106,belyy yar,20.0,RU,1595894780,100.0,53.6,91.39,55.4,1.0
107,kharp,89.0,RU,1595894780,69.0,66.8,65.81,50.21600000000001,1.77
108,fortuna,3.0,US,1595894662,67.0,40.6,-124.16,69.00800000000001,0.89
109,los llanos de aridane,90.0,ES,1595894692,73.0,28.66,-17.92,73.4,8.2
110,sampit,69.0,ID,1595894781,91.0,-2.53,112.95,76.85600000000002,1.75
111,castro,100.0,BR,1595894653,74.0,-24.79,-50.01,60.11600000000001,1.64
112,rocha,60.0,UY,1595894662,74.0,-34.48,-54.33,46.49000000000002,3.71
113,topeka,40.0,US,1595894781,74.0,39.05,-95.68,80.6,4.69
114,sand,73.0,DE,1595894781,7.0,50.0,10.6,68.0,0.45
115,cidreira,99.0,BR,1595894369,97.0,-30.18,-50.21,60.908,0.72
116,bagan,27.0,RU,1595894781,84.0,54.1,77.66,56.030000000000044,2.16
117,jamestown,1.0,US,1595894655,88.0,42.1,-79.24,78.00800000000001,4.6
118,bluff,100.0,NZ,1595894527,87.0,-46.6,168.33,42.998000000000026,0.89
119,davila,40.0,PH,1595894781,88.0,18.47,120.58,78.8,2.1
120,abu dhabi,75.0,AE,1595894781,44.0,24.47,54.37,98.6,2.1
121,bozoum,88.0,CF,1595894782,95.0,6.32,16.38,67.17200000000004,1.63
122,nanortalik,100.0,GL,1595894570,95.0,60.14,-45.24,46.45400000000005,2.92
123,luderitz,0.0,NA,1595894646,87.0,-26.65,15.16,57.2,1.0
124,pacific grove,1.0,US,1595894650,68.0,36.62,-121.92,73.99400000000007,5.7
125,merauke,94.0,ID,1595894681,78.0,-8.47,140.33,79.44800000000002,7.16
126,cururupu,48.0,BR,1595894582,89.0,-1.83,-44.87,74.22800000000007,1.4
127,greensburg,75.0,US,1595894733,69.0,40.3,-79.54,84.00200000000008,3.72
128,atuona,1.0,PF,1595894651,69.0,-9.8,-139.03,79.84400000000008,11.39
129,nador,20.0,MA,1595894782,88.0,35.17,-2.93,77.0,2.6
130,hermanus,0.0,ZA,1595894646,91.0,-34.42,19.23,44.00600000000003,2.61
131,haines junction,100.0,CA,1595894782,61.0,60.75,-137.51,57.32600000000009,1.46
132,kibre mengist,100.0,ET,1595894782,94.0,5.88,38.98,58.78399999999999,1.27
133,tahe,0.0,CN,1595894782,52.0,52.33,124.73,81.71600000000001,1.62
134,rundu,0.0,NA,1595894683,45.0,-17.93,19.77,48.72200000000004,2.54
135,kem,43.0,RU,1595894782,77.0,64.96,34.58,58.67600000000009,1.75
136,marsala,0.0,IT,1595894783,83.0,37.8,12.44,84.00200000000008,1.5
137,ponta do sol,20.0,PT,1595894664,64.0,32.67,-17.1,71.6,5.1
138,ayan,99.0,RU,1595894783,77.0,56.45,138.17,63.21200000000006,3.94
139,saint-pierre,99.0,RE,1595894783,83.0,-21.34,55.48,69.8,2.6
140,avarua,81.0,CK,1595894528,83.0,-21.21,-159.78,71.6,3.1
141,bathsheba,40.0,BB,1595894663,78.0,13.22,-59.52,82.4,8.7
142,marawi,98.0,PH,1595894783,87.0,8.0,124.29,77.0,3.13
143,mangrol,81.0,IN,1595894783,80.0,21.12,70.12,83.3,5.3
144,whitehorse,75.0,CA,1595894783,81.0,60.72,-135.05,51.998000000000026,2.1
145,kaitangata,100.0,NZ,1595894645,67.0,-46.28,169.85,46.004000000000055,1.79
146,dingle,100.0,PH,1595894549,84.0,11.0,122.67,80.52800000000006,2.37
147,tasiilaq,99.0,GL,1595894645,87.0,65.61,-37.64,42.8,3.1
148,vardo,0.0,NO,1595894575,87.0,70.37,31.11,55.4,2.6
149,okahandja,0.0,NA,1595894784,34.0,-21.98,16.92,51.8,2.6
150,chabahar,5.0,IR,1595894784,81.0,25.29,60.64,83.91200000000006,3.69
151,padang,90.0,ID,1595894579,94.0,-0.95,100.35,77.0,2.6
152,cabo san lucas,75.0,MX,1595894585,55.0,22.89,-109.91,93.2,4.6
153,marsh harbour,45.0,BS,1595894404,74.0,26.54,-77.06,82.92200000000004,4.0
154,silifke,0.0,TR,1595894784,67.0,36.38,33.93,81.19400000000007,1.99
155,sisimiut,100.0,GL,1595894683,94.0,66.94,-53.67,44.708000000000006,4.78
156,east london,9.0,ZA,1595894660,75.0,-33.02,27.91,57.02000000000006,5.53
157,babushkin,59.0,RU,1595894785,84.0,51.71,105.86,58.280000000000044,6.57
158,pangnirtung,95.0,CA,1595894690,45.0,66.15,-65.71,60.42200000000004,4.71
159,kosh-agach,100.0,RU,1595894785,77.0,50.0,88.67,50.360000000000085,1.32
160,cairns,58.0,AU,1595894785,60.0,-16.92,145.77,75.00200000000008,3.6
161,aksay,20.0,RU,1595894785,44.0,47.26,39.87,77.0,6.0
162,adwa,100.0,ET,1595894785,94.0,14.16,38.9,58.85600000000003,0.87
163,san rafael,0.0,AR,1595894677,55.0,-34.62,-68.33,45.98600000000007,2.58
164,maningrida,97.0,AU,1595894785,43.0,-12.07,134.27,72.68000000000004,7.05
165,esperance,58.0,AU,1595894672,100.0,-33.87,121.9,50.0,4.1
166,blythe,75.0,US,1595894786,8.0,33.61,-114.6,111.99199999999999,5.7
167,grand gaube,2.0,MU,1595894662,82.0,-20.01,57.66,66.00200000000008,1.34
168,georgetown,20.0,MY,1595894529,94.0,5.41,100.34,80.6,0.5
169,port elizabeth,0.0,ZA,1595894530,76.0,-33.92,25.57,50.0,2.6
170,mikhaylovka,100.0,RU,1595894787,45.0,50.06,43.24,66.99199999999999,0.89
171,bredasdorp,0.0,ZA,1595894647,93.0,-34.53,20.04,41.0,0.5
172,oktyabrskoye,0.0,RU,1595894787,100.0,43.06,44.74,62.6,2.0
173,fort morgan,1.0,US,1595894787,28.0,40.25,-103.8,86.0,5.7
174,panjab,0.0,AF,1595894787,43.0,34.39,67.02,53.924000000000014,1.78
175,senador jose porfirio,4.0,BR,1595894787,63.0,-2.59,-51.95,79.52000000000007,1.31
176,nanakuli,75.0,US,1595894763,52.0,21.39,-158.15,87.8,5.7
177,mount gambier,49.0,AU,1595894680,100.0,-37.83,140.77,37.4,2.1
178,pangoa,3.0,PE,1595894655,82.0,-12.12,-73.0,70.30400000000006,1.0
179,san patricio,40.0,MX,1595894680,66.0,19.22,-104.7,89.6,5.1
180,villa carlos paz,3.0,AR,1595894788,32.0,-31.42,-64.5,51.8,4.6
181,westport,1.0,US,1595894695,66.0,41.14,-73.36,89.99600000000005,3.6
182,caldwell,1.0,US,1595894788,33.0,43.66,-116.69,93.00200000000008,3.6
183,tessalit,56.0,ML,1595894788,45.0,20.2,1.01,85.51400000000004,4.22
184,capelinha,0.0,BR,1595894788,95.0,-17.69,-42.52,55.22000000000006,1.94
185,qandala,71.0,SO,1595894788,56.0,11.47,49.87,88.66400000000003,1.5
186,mantua,0.0,IT,1595894788,81.0,45.17,10.78,73.99400000000007,0.89
187,vestmannaeyjar,0.0,IS,1595894671,73.0,63.44,-20.27,51.81800000000008,9.22
188,vila velha,0.0,BR,1595894672,78.0,-20.33,-40.29,75.99199999999999,2.1
189,hamilton,40.0,US,1595894412,83.0,39.18,-84.53,82.99400000000007,2.6
190,bajram curri,1.0,AL,1595894789,39.0,42.36,20.08,80.6,4.1
191,okhotsk,53.0,RU,1595894671,72.0,59.38,143.3,65.58800000000005,1.11
192,namatanai,2.0,PG,1595894588,66.0,-3.67,152.43,85.06400000000004,2.52
193,klaksvik,100.0,FO,1595894660,93.0,62.23,-6.59,46.4,6.7
194,kahului,20.0,US,1595894687,49.0,20.89,-156.47,89.6,12.3
195,gat,39.0,IL,1595894463,89.0,31.61,34.76,80.99600000000005,0.89
196,zwedru,83.0,LR,1595894789,96.0,6.07,-8.13,69.74600000000005,1.26
197,wanning,52.0,CN,1595894789,82.0,18.8,110.4,84.38000000000004,5.15
198,jardim,0.0,BR,1595894789,45.0,-21.48,-56.14,71.88800000000005,1.21
199,lake cowichan,40.0,CA,1595894790,33.0,48.83,-124.05,89.6,2.6
200,naron,90.0,ES,1595894790,93.0,43.52,-8.15,66.2,0.5
201,nuuk,100.0,GL,1595894525,93.0,64.18,-51.72,44.6,3.6
202,sidi ali,0.0,DZ,1595894773,74.0,36.1,0.42,75.02000000000007,2.22
203,katobu,55.0,ID,1595894790,73.0,-4.94,122.53,78.85400000000006,2.55
204,hatillo,37.0,PR,1595894790,100.0,18.49,-66.83,84.00200000000008,3.13
205,zabol,0.0,AF,1595894790,50.0,32.25,67.25,69.8,7.07
206,kazerun,26.0,IR,1595894790,26.0,29.62,51.65,88.64600000000004,1.58
207,port hueneme,90.0,US,1595894790,77.0,34.15,-119.2,66.00200000000008,7.7
208,parana,81.0,AR,1595894630,41.0,-31.73,-60.52,55.004000000000055,0.89
209,gabu,98.0,GW,1595894790,97.0,12.28,-14.22,74.10200000000007,1.94
210,sorong,100.0,ID,1595894790,84.0,-0.88,131.25,79.592,6.81
211,koulamoutou,29.0,GA,1595894791,79.0,-1.13,12.47,71.85200000000007,1.21
212,mehamn,0.0,NO,1595894791,70.0,71.04,27.85,60.09800000000003,4.28
213,ulety,100.0,RU,1595894791,93.0,51.36,112.48,60.71000000000008,2.27
214,moerai,99.0,PF,1595894791,87.0,-22.43,-151.33,71.42000000000006,4.4
215,katsuura,75.0,JP,1595894648,94.0,35.13,140.3,84.00200000000008,7.2
216,aklavik,75.0,CA,1595894687,46.0,68.22,-135.01,69.8,6.2
217,bodden town,40.0,KY,1595894791,74.0,19.28,-81.25,87.8,4.6
218,ribeira grande,4.0,PT,1595894649,88.0,38.52,-28.7,74.15600000000003,1.95
219,pevek,0.0,RU,1595894531,84.0,69.7,170.31,35.978000000000065,4.7
220,ukiah,1.0,US,1595894791,16.0,39.15,-123.21,98.6,6.7
221,kant,97.0,IN,1595894791,63.0,27.8,79.8,88.32200000000003,1.14
222,kyabram,22.0,AU,1595894792,66.0,-36.32,145.05,55.99400000000007,0.89
223,lima,90.0,PE,1595894330,87.0,-12.04,-77.03,59.0,4.1
224,palmer,40.0,US,1595894792,43.0,42.16,-72.33,91.4,3.1
225,miura,75.0,JP,1595894643,94.0,35.14,139.62,80.6,7.2
226,vung tau,63.0,VN,1595894740,78.0,10.35,107.08,82.25600000000003,1.75
227,hlohovec,74.0,SK,1595894792,87.0,48.43,17.8,62.99600000000005,2.1
228,belorechensk,37.0,RU,1595894792,88.0,44.76,39.87,69.8,1.0
229,rabo de peixe,20.0,PT,1595894792,88.0,37.8,-25.58,71.6,2.1
230,manokwari,100.0,ID,1595894792,80.0,-0.87,134.08,77.97200000000004,1.29
231,bengkulu,77.0,ID,1595894414,79.0,-3.8,102.27,74.48000000000005,1.81
232,ilo,28.0,PE,1595894793,78.0,-17.64,-71.34,58.38800000000005,1.56
233,broome,75.0,US,1595894793,88.0,42.25,-75.83,82.99400000000007,5.1
234,dajal,3.0,PK,1595894793,44.0,29.56,70.38,95.91800000000009,8.56
235,igarka,3.0,RU,1595894669,58.0,67.47,86.58,50.774000000000015,5.74
236,alvaraes,40.0,BR,1595894793,83.0,-3.22,-64.8,80.6,2.1
237,ginir,93.0,ET,1595894793,95.0,7.13,40.7,57.41600000000001,6.29
238,ahipara,97.0,NZ,1595894765,68.0,-35.17,173.17,59.12600000000009,4.71
239,belousovo,20.0,RU,1595894793,93.0,55.09,36.67,62.6,2.0
240,sao filipe,89.0,CV,1595894673,76.0,14.9,-24.5,75.75800000000001,3.03
241,guerrero negro,8.0,MX,1595894668,68.0,27.98,-114.06,73.23800000000004,9.52
242,vila,90.0,PT,1595894681,93.0,42.03,-8.16,68.0,1.5
243,uige,0.0,AO,1595894794,80.0,-7.61,15.06,60.38600000000007,1.34
244,prata,12.0,BR,1595894794,51.0,-19.31,-48.92,71.29400000000007,3.64
245,porto novo,20.0,BJ,1595894759,88.0,6.5,2.6,77.0,4.6
246,carutapera,2.0,BR,1595894761,84.0,-1.2,-46.02,76.64000000000001,2.96
247,ilulissat,97.0,GL,1595894672,81.0,69.22,-51.1,42.8,1.0
248,lorengau,18.0,PG,1595894794,72.0,-2.02,147.27,83.22800000000007,0.85
249,kempsey,46.0,AU,1595894794,55.0,-31.08,152.83,66.99199999999999,1.34
250,acapulco,90.0,MX,1595894755,88.0,16.86,-99.89,78.8,6.2
251,miri,40.0,MY,1595894650,100.0,4.41,114.01,77.0,1.0
252,carmen,90.0,MX,1595894708,94.0,18.63,-91.83,75.2,11.3
253,russell,1.0,US,1595894694,59.0,32.35,-85.2,91.4,1.97
254,college,90.0,US,1595894645,87.0,64.86,-147.8,59.0,2.6
255,homer,1.0,US,1595894584,67.0,59.64,-151.55,62.6,6.2
256,marfino,40.0,RU,1595894795,93.0,55.7,37.38,66.00200000000008,2.0
257,torbay,90.0,CA,1595894652,100.0,47.67,-52.73,57.992,2.6
258,ugento,5.0,IT,1595894795,88.0,39.93,18.16,75.99199999999999,2.6
259,yajalon,90.0,MX,1595894796,96.0,17.23,-92.33,71.34800000000003,0.33
260,pavlivka,30.0,UA,1595894796,83.0,49.44,28.46,65.33600000000007,1.26
261,hosdurga,100.0,IN,1595894796,87.0,13.8,76.29,70.64600000000004,4.3
262,shimoda,75.0,JP,1595894605,94.0,34.67,138.95,78.8,7.2
263,camocim,18.0,BR,1595894796,72.0,-2.9,-40.84,77.99000000000002,6.42
264,yulara,0.0,AU,1595894645,52.0,-25.24,130.99,46.4,2.6
265,hasaki,75.0,JP,1595894656,83.0,35.73,140.83,84.00200000000008,4.1
266,feijo,69.0,BR,1595894796,68.0,-8.16,-70.35,77.16200000000006,0.3
267,cartagena,75.0,CO,1595894796,83.0,10.4,-75.51,84.2,3.1
268,imbituba,76.0,BR,1595894672,88.0,-28.24,-48.67,66.2,3.6
269,alice springs,0.0,AU,1595894381,53.0,-23.7,133.88,50.0,2.1
270,madison,1.0,US,1595894704,52.0,34.73,-86.57,87.99800000000002,1.5
271,sitka,75.0,US,1595894664,82.0,57.05,-135.33,57.2,2.1
272,victoria,54.0,HK,1595894353,79.0,22.29,114.16,86.0,1.79
273,nicoya,75.0,CR,1595894797,88.0,10.15,-85.45,80.6,1.0
274,ciudad bolivar,61.0,VE,1595894552,73.0,8.12,-63.55,82.50800000000001,1.05
